n,F1,Precision,Recall
1,0.757652374214916,0.755767688875819,0.761588738059326
3,0.772345561491619,0.771672482809504,0.783207642031171
5,0.779323418264075,0.776898286604107,0.792961287078934
7,0.779077642372177,0.778651003541969,0.794570135746606
9,0.78070711661604,0.783988323289452,0.797285067873303
11,0.779089812903827,0.777862759540248,0.796681749622926
13,0.776886657188845,0.776128276629911,0.795173453996983
15,0.776456337651944,0.774691613096263,0.795475113122172
